day,conversion,Display_1,Display_2,Display_3,PaidSearch_1,PaidSearch_2
2014-12-01,129,8970,11822,4,7697,11174
2014-12-02,283,15609,14642,419,9818,13421
2014-12-03,417,21712,13146,1818,8476,13119
2014-12-04,396,22078,14216,2058,9452,12982
2014-12-05,402,13697,13616,2518,9171,6145
2014-12-06,400,10490,13194,191,8710,9464
2014-12-07,497,11402,14507,2346,9478,12526
2014-12-08,509,15433,13766,2970,9085,8125
2014-12-09,502,12770,12312,1987,8264,17983
2014-12-10,348,17546,13086,1238,8846,17383
2014-12-11,420,15723,12962,4382,8712,27931
2014-12-12,364,15441,13981,4111,9408,29393
2014-12-13,234,12452,13522,3763,9074,18201
2014-12-14,378,13570,15350,3879,10385,21154
2014-12-15,510,13873,15094,4443,10120,26395
2014-12-16,502,13347,16838,4631,11253,24647
2014-12-17,504,13239,16228,4582,10930,25763
2014-12-18,450,11056,17329,4691,11435,29102
2014-12-19,402,10622,14702,4212,10041,27295
2014-12-20,230,10049,14532,2978,9618,20745
2014-12-21,285,10741,14674,3355,10016,23885
2014-12-22,321,6043,16039,3109,10646,30724
2014-12-23,271,5371,17871,3378,11658,25281
2014-12-24,138,4959,14231,2996,9435,15867
2014-12-25,180,6035,13144,2531,8493,23863
2014-12-26,200,6208,15294,499,10350,19962
2014-12-27,275,6140,15025,531,10107,10117
2014-12-28,360,6234,15121,4024,10238,11682
2014-12-29,458,6191,19707,5367,12900,18269
2014-12-30,340,6567,19726,500,13111,1263
2014-12-31,213,1,9347,506,6166,0
2015-01-01,131,0,2,0,1,0
2015-01-02,257,0,0,0,0,1
2015-01-03,112,0,0,0,0,0
2015-01-04,55,0,0,0,0,0
2015-01-05,22,0,0,0,0,1
